"","SPOKE","HUB","2016","2017","2018","2019","2020","2021","Mean","Median","sd"
"1","AUS","CHN",0.6949,0.739,0.6796,0.723,0.7674,0.7939,0.732966666666667,0.731,0.0432003086408728
"2","AUT","CHN",0,0,0,0,0,0,0,0,0
"3","BEL","CHN",0,0,0,0,0,0,0,0,0
"4","BRA","CHN",0.6013,0.6363,0.6872,0.6797,0.7582,0.7372,0.683316666666667,0.68345,0.0591208733584566
"5","CAN","CHN",0,0,0,0,0,0,0,0,0
"6","HKG","CHN",0.8717,0.8753,0.8726,0.8833,0.8841,0.9095,0.88275,0.8793,0.0141302158511468
"7","TWN","CHN",0.4465,0.4732,0.481,0.4551,0.4542,0.4435,0.458916666666667,0.45465,0.0149689567661433
"8","CZE","CHN",0,0,0,0,0,0,0,0,0
"9","FRA","CHN",0.0649,0.0737,0.0772,0.0758,0.0749,0.0888,0.0758833333333333,0.07535,0.00768047307570743
"10","DEU","CHN",0.0894,0.0951,0.0998,0.102,0.1118,0.1063,0.100733333333333,0.1009,0.0079512682426558
"11","HUN","CHN",0,0,0,0,0,0,0,0,0
"12","IND","CHN",0,0,0,0,0,0,0,0,0
"13","IDN","CHN",1,1,1,1,1,1,1,1,0
"14","IRL","CHN",0,0,0,0,0,0,0,0,0
"15","ITA","CHN",0,0,0,0,0,0,0,0,0
"16","JPN","CHN",0.2911,0.3112,0.3225,0.3145,0.3475,0.3447,0.321916666666667,0.3185,0.0214170415012594
"17","KOR","CHN",0.4429,0.4378,0.45,0.4279,0.4259,0.4248,0.434883333333333,0.43285,0.0103191892446387
"18","MYS","CHN",0.336,0.3611,0.3757,0.3761,0.3878,0.3782,0.36915,0.3759,0.0183556803197266
"19","MEX","CHN",0,0,0,0,0,0,0,0,0
"20","NLD","CHN",0,0,0,0,0,0,0,0,0
"21","POL","CHN",0,0,0,0,0,0,0,0,0
"22","RUS","CHN",0.3599,0.3927,0.4191,0.4404,0.5308,0.4879,0.438466666666667,0.42975,0.0626341972620921
"23","SAU","CHN",0.3915,0.4033,0.4369,0.5082,0.5315,0.5004,0.461966666666667,0.46865,0.0591357647001091
