"","From","To","Mean","UCI","p.value"
"1","AFG","ALB",2.3166541755514e-08,4.6333083511028e-08,0.088
"2","AFG","DZA",1.60626013531316e-08,3.88925719722407e-08,0.074
"3","AFG","AIA",1.44393781479649e-09,4.33181344438948e-09,0.321
"4","AFG","ATG",1.72855875432181e-09,3.54354544635963e-09,0.342
"5","AFG","ABW",4.33181344438948e-09,8.66362688877896e-09,0.349
"6","AFG","BHS",3.47438226739275e-10,1.04231468021782e-09,0.322
"7","AFG","BEN",2.94027635822199e-09,7.77851439444814e-09,0.078
"8","AFG","BMU",2.755947710369e-09,6.97142406536563e-09,0.101
"9","AFG","KHM",1.87226722036759e-08,3.74453444073517e-08,0.083
"10","AFG","CAF",6.17229063093949e-07,1.79683682511752e-06,0.075
"11","AFG","COM",9.68253342411894e-09,2.90476002723568e-08,0.327
"12","AFG","ECU",7.94932813975744e-09,2.38479844192723e-08,0.322
"13","AFG","FJI",2.09963781451023e-08,5.9411936772416e-08,0.091
"14","AFG","GIN",4.32139688580452e-09,1.29641906574136e-08,0.316
"15","AFG","HND",3.38777094545846e-09,7.77851439444814e-09,0.073
"16","AFG","JAM",6.29037121488615e-08,1.84821879249361e-07,0.093
"17","AFG","MDG",1.77705424392186e-09,4.1692587208713e-09,0.08
"18","AFG","MDV",1.95452005055909e-08,5.604276338529e-08,0.073
"19","AFG","MUS",1.50934223763355e-09,3.48571203268282e-09,0.072
"20","AFG","MDA",6.27436523151317e-08,1.41754796509624e-07,0.086
"21","AFG","MNG",8.1944102554521e-10,1.68372040270611e-09,0.089
"22","AFG","MNE",2.94027635822199e-09,6.22799094318325e-09,0.092
"23","AFG","NAM",2.7822648489151e-09,8.34679454674532e-09,0.303
"24","AFG","NER",6.75692891879383e-09,2.02707867563815e-08,0.334
"25","AFG","MDK",7.74602673929515e-10,1.54920534785903e-09,0.348
"26","AFG","KNA",6.82455831405584e-09,1.8149866920379e-08,0.106
"27","AFG","VCT",4.32139688580452e-10,1.29641906574136e-09,0.332
"28","AFG","SOM",6.22041410069792e-08,1.66341636264556e-07,0.096
"29","AFG","PSE",9.51175121792694e-09,1.90235024358539e-08,0.079
"30","AFG","SYR",7.92187761546361e-08,2.22061800064106e-07,0.083
"31","AFG","TGO",4.14204347934174e-09,8.28408695868348e-09,0.077
"32","AFG","UGA",5.21157340108913e-09,1.04231468021782e-08,0.344
"33","ALB","AND",6.04995564012633e-09,1.8149866920379e-08,0.33
"34","ALB","BHS",1.83374928342635e-08,4.06502725284952e-08,0.091
"35","ALB","BLZ",2.7795058139142e-09,8.3385174417426e-09,0.338
"36","ALB","BMU",1.19239922096362e-09,3.57719766289085e-09,0.307
"37","ALB","BOL",1.70910555004785e-08,5.12731665014355e-08,0.353
"38","ALB","BWA",4.32139688580452e-10,1.29641906574136e-09,0.347
"39","ALB","VGB",2.03105653632813e-08,6.09316960898438e-08,0.328
"40","ALB","BRN",2.2095701498916e-09,6.62871044967481e-09,0.335
"41","ALB","BFA",1.6571776124187e-08,4.97153283725611e-08,0.335
"42","ALB","BDI",1.73719113369637e-09,5.21157340108912e-09,0.343
"43","ALB","CAF",1.74285601634141e-08,5.22856804902423e-08,0.319
"44","ALB","TCD",3.29532149320792e-08,8.42672392731882e-08,0.076
"45","ALB","COM",1.19239922096362e-09,3.57719766289085e-09,0.372
"46","ALB","COD",8.95241445173826e-09,2.68572433552148e-08,0.337
"47","ALB","COK",2.57783184154021e-09,7.73349552462062e-09,0.314
"48","ALB","DOM",1.26068431984343e-07,2.52136863968685e-07,0.098
"49","ALB","ECU",8.43319273875296e-08,2.52995782162589e-07,0.339
"50","ALB","SLV",1.73719113369637e-09,5.21157340108912e-09,0.309
"51","ALB","PYF",2.7111093587533e-08,8.13332807625991e-08,0.339
"52","ALB","JAM",3.13592949428913e-08,7.08773982548121e-08,0.09
"53","ALB","LAO",3.17973125590298e-09,9.53919376770893e-09,0.318
"54","ALB","LBR",4.32139688580452e-10,1.29641906574136e-09,0.348
"55","ALB","MDG",2.38479844192723e-09,7.1543953257817e-09,0.352
"56","ALB","MWI",4.76959688385447e-09,1.43087906515634e-08,0.31
"57","ALB","MNG",1.15360161867211e-07,2.30720323734421e-07,0.087
"58","ALB","MMR",1.03047666894416e-08,2.24751595307559e-08,0.096
"59","ALB","NIC",1.85333452383599e-08,5.22856804902423e-08,0.093
"60","ALB","PRY",4.87501613744962e-09,1.1047850749458e-08,0.1
"61","ALB","PHL",1.10668458427047e-07,2.5374394571917e-07,0.083
"62","ALB","STP",2.7111093587533e-09,8.13332807625991e-09,0.318
"63","ALB","SOM",3.12552178930559e-07,9.37656536791678e-07,0.324
"64","ALB","PSE",1.04672523182352e-07,2.35319220963456e-07,0.079
"65","ALB","TTO",2.36253815548502e-08,7.08761446645506e-08,0.318
"66","ALB","URY",1.16721958873926e-07,2.48019037960432e-07,0.085
"67","ALB","VUT",2.74251820821632e-08,8.22755462464895e-08,0.322
"68","ALB","VEN",7.67614102791402e-08,1.5352282055828e-07,0.089
"69","ALB","ZMB",1.2321458616624e-08,3.69643758498721e-08,0.306
"70","DZA","AIA",6.9487645347855e-10,2.08462936043565e-09,0.347
"71","DZA","ATG",4.32139688580452e-10,1.29641906574136e-09,0.33
"72","DZA","BHS",1.9242748192799e-05,5.77282445783969e-05,0.332
"73","DZA","BRB",2.07427050518617e-08,6.22281151555851e-08,0.335
"74","DZA","BLZ",1.89777655112731e-08,5.69332965338193e-08,0.326
"75","DZA","BWA",1.03908350470915e-05,3.11725051412745e-05,0.344
"76","DZA","CAF",7.74602673929515e-10,2.32380802178854e-09,0.342
"77","DZA","TCD",1.90745729531619e-08,3.82325525112586e-08,0.091
"78","DZA","CHN",0.000411936760154215,0.000947661264675955,0.094
"79","DZA","COL",4.22523535021264e-06,1.0608678815257e-05,0.093
"80","DZA","COM",3.87301336964757e-10,1.16190401089427e-09,0.353
"81","DZA","CRI",2.50342294861549e-06,6.46339333203073e-06,0.08
"82","DZA","DJI",7.74602673929515e-10,2.32380802178854e-09,0.357
"83","DZA","DOM",9.4119460427647e-06,1.88238920855294e-05,0.092
"84","DZA","ECU",4.267783519906e-08,1.09443041422872e-07,0.086
"85","DZA","ERI",4.33002894726599e-07,1.2990086841798e-06,0.326
"86","DZA","EST",8.47656340908768e-05,0.000253588306325385,0.074
"87","DZA","ETH",5.89951663137186e-06,1.76516457335058e-05,0.089
"88","DZA","GRD",3.87301336964757e-10,1.16190401089427e-09,0.324
"89","DZA","GNB",7.7131286336119e-08,2.31393859008357e-07,0.34
"90","DZA","GUY",2.57899731288663e-08,5.15799462577325e-08,0.08
"91","DZA","IRN",1.29641906574136e-09,3.88925719722407e-09,0.333
"92","DZA","KAZ",2.28507788809207e-08,6.85523366427621e-08,0.326
"93","DZA","KEN",1.72457995510897e-06,3.70748990197343e-06,0.07
"94","DZA","KOR",0.000446890067277548,0.00103662752043965,0.076
"95","DZA","LTU",4.12415604294789e-08,8.24831208589578e-08,0.09
