"","PageRank","Betweenness"
"USA",0.185,326
"CHN",0.133,563
"DEU",0.092,319
"GBR",0.046,123
"CAN",0.042,0
"FRA",0.041,0
"HKG",0.039,0
"MEX",0.038,0
"JPN",0.035,70
"NLD",0.031,8
"BEL",0.022,48
"ITA",0.022,60
"KOR",0.021,34
"CHE",0.02,0
"ESP",0.017,136
"TWN",0.015,45
"IND",0.015,4
"SGP",0.015,50
"ARE",0.015,98
"AUS",0.01,0
"BRA",0.01,0
"POL",0.01,0
"VNM",0.01,25
"AUT",0.009,0
"MYS",0.009,0
"RUS",0.009,89
"THA",0.009,20
"CZE",0.008,0
"IDN",0.008,12
"IRL",0.008,0
"HUN",0.006,0
"IRQ",0.006,0
"PHL",0.006,0
"PRT",0.006,0
"SAU",0.006,50
"SWE",0.006,0
"TUR",0.006,0
"CHL",0.005,0
"NOR",0.004,0
"ZAF",0.004,0
